{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Courts, Centroid: (413.05145, -112.26014)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Courts, Centroid: (510.33639, -105.33446)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (291.80524, 259.45331)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (202.42854, -98.78232)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (532.14899, 86.69829)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (592.99129, -394.04301)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (440.85859, 459.48986)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (204.63754, 517.09976)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (-60.81613, 241.8086)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (314.30442, 20.22565)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (121.01914, -146.51076)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (263.82872, 274.19829)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (272.6642, -348.39794)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (446.39284, 381.72821)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hallway, Centroid: (65.83089, 76.06706)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hallway, Centroid: (563.98894, -392.15325)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hallway, Centroid: (-76.92567, 30.86807)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hanson Fitness & Lifestyle Centre, Centroid: (392.15177, -336.37419)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hole, Centroid: (424.02546, 149.76079)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hole, Centroid: (212.93506, 390.81819)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Hole, Centroid: (334.66933, -153.39856)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Main Gym, Centroid: (63.76096, 86.03867)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Sports Hall of Fame, Centroid: (281.75055, 122.55824)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (101.75697, 249.0586)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-176.20104, 302.80395)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (479.24107, 29.01108)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (99.1568, -204.46167)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (555.16508, -412.00597)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (10.0559, 249.0586)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (498.56633, -431.84463)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-198.45196, -79.31875)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (171.93992, 228.2278)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (357.08162, -337.75914)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (288.77046, 29.5069)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (245.5558, 358.72229)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (215.17143, 435.96384)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (168.13765, -53.54968)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (81.43016, 469.19074)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-559.94249, 552.35325)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (440.41482, 433.76293)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-176.42725, 550.41495)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-559.90441, 302.80395)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-147.2047, 393.12775)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (275.44202, 258.68451)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Universiade Pavilion, Centroid: (-231.43804, -354.30032)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Washroom Men, Centroid: (94.79643, 291.05654)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Washroom Men, Centroid: (347.73605, 27.1319)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Washroom Men, Centroid: (431.51931, 353.43409)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Washroom Women, Centroid: (368.11178, 27.1319)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Washroom Women, Centroid: (456.19995, 357.79336)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Washroom Women, Centroid: (94.79643, 314.40029)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: West Pool, Centroid: (-198.50736, 29.31933)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: Wilson Climbing Centre, Centroid: (489.94804, -439.71261)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-268.8514, 552.35325)}
